year,property_value,yearly_mortgage,property_tax,maintenance,insurance,interest_paid,principal_paid,remaining_loan,equity,yearly_costs,total_interest_to_date,total_principal_to_date,investment_portfolio,investment_returns,new_investments,yearly_utilities
20,1263475.0976878202,30339.265127662333,15161.701172253843,12634.750976878202,3566.2737503480525,15017.760265362673,15321.504862299662,222661.13019985298,1040813.9674879672,66946.5112482425,429446.4327531,177338.86980014673,0.0,0.0,0.0,5244.520221100075
21,1326648.852572211,30339.265127662333,15919.786230866534,13266.48852572211,3637.5992253550135,13991.650709268484,16347.614418393849,206313.51578145914,1120335.336790752,68512.54973512806,443438.08346236846,193686.48421854057,0.0,0.0,0.0,5349.410625522078
22,1392981.2952008217,30339.265127662333,16715.77554240986,13929.812952008217,3710.3512098621136,12896.820695845157,17442.444431817174,188871.071349642,1204110.2238511797,70151.60366997504,456334.90415821364,211128.92865035776,0.0,0.0,0.0,5456.398838032519
23,1462630.359960863,30339.265127662333,17551.564319530356,14626.30359960863,3784.558234059356,11728.66788879491,18610.597238867424,170260.47411077455,1292369.8858500884,71867.21809565384,468063.57204700855,229739.5258892252,0.0,0.0,0.0,5565.526814793169
24,1535761.877958906,30339.265127662333,18429.142535506875,15357.618779589062,3860.2493987405433,10482.281724834524,19856.98340282781,150403.4907079467,1385358.3872509594,73663.11319258786,478545.8537718431,249596.509292053,0.0,0.0,0.0,5676.837351089033
25,1612549.9718568514,30339.265127662333,19350.599662282217,16125.499718568513,3937.4543867153543,9152.42277116337,21186.842356498968,129216.64835144771,1483333.3235054037,75543.19299333924,487698.2765430064,270783.351648552,0.0,0.0,0.0,5790.374098110814
26,1693177.4704496942,30339.265127662333,20318.12964539633,16931.774704496944,4016.2034744496614,7733.500700462693,22605.764427199643,106610.88392424809,1586566.586525446,77511.5545320783,495431.7772434691,293389.11607575166,0.0,0.0,0.0,5906.181580073031
27,1777836.3439721789,30339.265127662333,21334.036127666146,17778.36343972179,4096.527543938655,6219.550790839909,24119.71433682242,82491.16958742565,1695345.1743847532,79572.49745066343,501651.328034309,317508.8304125741,0.0,0.0,0.0,6024.305211674491
28,1866728.1611707879,30339.265127662333,22400.737934049455,18667.28161170788,4178.458094817428,4604.2088519306035,25735.056275731728,56756.11331169394,1809972.0478590939,81730.53408414507,506255.5368862396,343243.8866883058,0.0,0.0,0.0,6144.791315907982
29,1960064.5692293274,30339.265127662333,23520.77483075193,19600.645692293274,4262.027256713776,2880.684471755162,27458.580655907175,29297.53265578677,1930767.0365735407,83990.40004964745,509136.2213579948,370702.467344213,0.0,0.0,0.0,6267.687142226141
30,2058067.797690794,30339.265127662333,24696.81357228953,20580.67797690794,4347.267801848052,1041.732471867834,29297.5326557945,0.0,2058067.797690794,86357.06536377851,510177.9538298626,400000.0000000075,0.0,0.0,0.0,6393.040885070664
